browser position chr8:98947784-99078856
browser hide all
browser pack refGene encodeRegions
browser full altGraph
#	300 base wide bar graph, autoScale is on by default == graphing
#	limits will dynamically change to always show full range of data
#	in viewing window, priority = 20 positions this as the second graph
#	Note, zero-relative, half-open coordinate system in use for bedGraph format
track type=bedGraph name="ENSG00000132549 GX-BERT CLS Attention Head 3" description="ENSG00000132549 GX-BERT CLS Attention Head 3" visibility=full color=200,100,0 altColor=0,100,200 priority=20
chr8 98980552 98980679 0.0006848744815215468
chr8 98980680 98980807 0.0002603090542834252
chr8 98980808 98980935 0.00019204971613362432
chr8 98980936 98981063 0.00021645595552399755
chr8 98981064 98981191 0.0002802569360937923
chr8 98981192 98981319 0.000528719334397465
chr8 98981320 98981447 0.00027208353276364505
chr8 98981448 98981575 0.0001992080215131864
chr8 98981576 98981703 0.0006233074818737805
chr8 98981704 98981831 0.000282381777651608
chr8 98981832 98981959 0.00046221434604376554
chr8 98981960 98982087 0.000396630639443174
chr8 98982088 98982215 0.00012995488941669464
chr8 98982216 98982343 8.960151899373159e-05
chr8 98982344 98982471 0.00017485542048234493
chr8 98982472 98982599 0.000378092605387792
chr8 98982600 98982727 0.00041780053288675845
chr8 98982728 98982855 0.000349625654052943
chr8 98982856 98982983 0.0002699119795579463
chr8 98982984 98983111 0.0002123458543792367
chr8 98983112 98983239 0.00043515636934898794
chr8 98983240 98983367 0.0002985538449138403
chr8 98983368 98983495 0.0004088150162715465
chr8 98983496 98983623 0.0005884625716134906
chr8 98983624 98983751 0.0004990093293599784
chr8 98983752 98983879 0.00043712774640880525
chr8 98983880 98984007 0.00032808317337185144
chr8 98984008 98984135 0.0003643509407993406
chr8 98984136 98984263 0.00025041340268217027
chr8 98984264 98984391 6.691696762572974e-05
chr8 98984392 98984519 5.002329999115318e-05
chr8 98984520 98984647 0.00019661567057482898
chr8 98984648 98984775 0.00026260476442985237
chr8 98984776 98984903 0.00021754241606686264
chr8 98984904 98985031 0.0003649556892924011
chr8 98985032 98985159 0.0002631272072903812
chr8 98985160 98985287 0.00022967944096308202
chr8 98985288 98985415 0.0004042595101054758
chr8 98985416 98985543 0.0005131830112077296
chr8 98985544 98985671 0.00028349983040243387
chr8 98985672 98985799 0.000425198843004182
chr8 98985800 98985927 0.0002711318666115403
chr8 98985928 98986055 0.0004209868493489921
chr8 98986056 98986183 0.0002875773352570832
chr8 98986184 98986311 0.0004556939238682389
chr8 98986312 98986439 0.0005983887240290642
chr8 98986440 98986567 0.00020529376342892647
chr8 98986568 98986695 0.0002605324552860111
chr8 98986696 98986823 0.0002788527635857463
chr8 98986824 98986951 0.00019412831170484424
chr8 98986952 98987079 0.0004645893059205264
chr8 98987080 98987207 8.815225010039285e-05
chr8 98987208 98987335 0.0003102469490841031
chr8 98987336 98987463 0.00017047511937562376
chr8 98987464 98987591 0.0006963806808926165
chr8 98987592 98987719 0.0003690300800371915
chr8 98987720 98987847 0.000419401767430827
chr8 98987848 98987975 0.0003606931713875383
chr8 98987976 98988103 0.00019803021859843284
chr8 98988104 98988231 0.00026929372688755393
chr8 98988232 98988359 0.00016299763228744268
chr8 98988360 98988487 0.0002384679828537628
chr8 98988488 98988615 0.00033988492214120924
chr8 98988616 98988743 0.0001995921484194696
chr8 98988744 98988871 0.000182357121957466
chr8 98988872 98988999 0.0001690568751655519
chr8 98989000 98989127 0.00017518999811727554
chr8 98989128 98989255 0.0002226097567472607
chr8 98989256 98989383 0.0003431463846936822
chr8 98989384 98989511 0.00010069702693726867
chr8 98989512 98989639 6.839885463705286e-05
chr8 98989640 98989767 4.403058483148925e-05
chr8 98989768 98989895 0.00011968569742748514
chr8 98989896 98990023 0.00010147761349799111
chr8 98990024 98990151 6.477973511209711e-05
chr8 98990152 98990279 6.55610638204962e-05
chr8 98990280 98990407 0.00020436842169146985
chr8 98990408 98990535 0.00010708261106628925
chr8 98990536 98990663 0.00029206089675426483
chr8 98990664 98990791 0.00023856181360315531
chr8 98990792 98990919 0.00017865750123746693
chr8 98990920 98991047 8.366435940843076e-05
chr8 98991048 98991175 7.107812416506931e-05
chr8 98991176 98991303 0.00011409587023081258
chr8 98991304 98991431 5.666102151735686e-05
chr8 98991432 98991559 3.686331183416769e-05
chr8 98991560 98991687 6.45175896352157e-05
chr8 98991688 98991815 3.99949676648248e-05
chr8 98991816 98991943 8.717989112483338e-05
chr8 98991944 98992071 0.00022884292411617935
chr8 98992072 98992199 0.00022526721295434982
chr8 98992200 98992327 0.00017284235218539834
chr8 98992328 98992455 0.0001840182376326993
chr8 98992456 98992583 0.0001248384651262313
chr8 98992584 98992711 4.562829417409375e-05
chr8 98992712 98992839 7.565678970422596e-05
chr8 98992840 98992967 7.392450061161071e-05
chr8 98992968 98993095 5.1375394832575694e-05
chr8 98993096 98993223 0.00014573383668903261
chr8 98993224 98993351 0.0001692681253189221
chr8 98993352 98993479 0.00018182338681071997
chr8 98993480 98993607 0.00016397872241213918
chr8 98993608 98993735 0.00011455755884526297
