browser position chr8:98947784-99078856
browser hide all
browser pack refGene encodeRegions
browser full altGraph
#	300 base wide bar graph, autoScale is on by default == graphing
#	limits will dynamically change to always show full range of data
#	in viewing window, priority = 20 positions this as the second graph
#	Note, zero-relative, half-open coordinate system in use for bedGraph format
track type=bedGraph name="ENSG00000132549 GX-BERT Mean Attention" description="ENSG00000132549 GX-BERT Mean Attention" visibility=full color=200,100,0 altColor=0,100,200 priority=20
chr8 98980552 98980679 0.0007805899949744344
chr8 98980680 98980807 0.0012932125246152282
chr8 98980808 98980935 0.0008607051568105817
chr8 98980936 98981063 0.0009321522666141391
chr8 98981064 98981191 0.0007451017736457288
chr8 98981192 98981319 0.0008684921776875854
chr8 98981320 98981447 0.0009860690915957093
chr8 98981448 98981575 0.0009759088861756027
chr8 98981576 98981703 0.0007629956235177815
chr8 98981704 98981831 0.0007869076216593385
chr8 98981832 98981959 0.0008181526209227741
chr8 98981960 98982087 0.0008230764651671052
chr8 98982088 98982215 0.0009568554232828319
chr8 98982216 98982343 0.0014437887584790587
chr8 98982344 98982471 0.0008850759477354586
chr8 98982472 98982599 0.0007139533990994096
chr8 98982600 98982727 0.0007353091496042907
chr8 98982728 98982855 0.000744157237932086
chr8 98982856 98982983 0.0008561174036003649
chr8 98982984 98983111 0.0012546994257718325
chr8 98983112 98983239 0.0007242674473673105
chr8 98983240 98983367 0.0008303235517814755
chr8 98983368 98983495 0.0007632751949131489
chr8 98983496 98983623 0.0008223388576880097
chr8 98983624 98983751 0.0008709816029295325
chr8 98983752 98983879 0.0008497126400470734
chr8 98983880 98984007 0.0011000868398696184
chr8 98984008 98984135 0.0008694798452779651
chr8 98984136 98984263 0.0010933558223769069
chr8 98984264 98984391 0.0017067436128854752
chr8 98984392 98984519 0.00329029094427824
chr8 98984520 98984647 0.0017742792842909694
chr8 98984648 98984775 0.001039741444401443
chr8 98984776 98984903 0.0010796596761792898
chr8 98984904 98985031 0.0016869184328243136
chr8 98985032 98985159 0.0010456459131091833
chr8 98985160 98985287 0.00090835674200207
chr8 98985288 98985415 0.000808233511634171
chr8 98985416 98985543 0.0007491219439543784
chr8 98985544 98985671 0.0008192418026737869
chr8 98985672 98985799 0.0007483873632736504
chr8 98985800 98985927 0.0012683465611189604
chr8 98985928 98986055 0.001133618992753327
chr8 98986056 98986183 0.0008393211173824966
chr8 98986184 98986311 0.0009565355139784515
chr8 98986312 98986439 0.0007911737193353474
chr8 98986440 98986567 0.0011617018608376384
chr8 98986568 98986695 0.0010405785869807005
chr8 98986696 98986823 0.0008456199429929256
chr8 98986824 98986951 0.0007989074802026153
chr8 98986952 98987079 0.0007176935905590653
chr8 98987080 98987207 0.0013389962259680033
chr8 98987208 98987335 0.0008330728160217404
chr8 98987336 98987463 0.0008933153003454208
chr8 98987464 98987591 0.0008117673569358885
chr8 98987592 98987719 0.0008654206758365035
chr8 98987720 98987847 0.0010077498154714704
chr8 98987848 98987975 0.0009031111258082092
chr8 98987976 98988103 0.001321702147834003
chr8 98988104 98988231 0.0009545100037939847
chr8 98988232 98988359 0.0009675993351265788
chr8 98988360 98988487 0.001144891488365829
chr8 98988488 98988615 0.0008120215497910976
chr8 98988616 98988743 0.0010161693207919598
chr8 98988744 98988871 0.0008486335282213986
chr8 98988872 98988999 0.0008350596181116998
chr8 98989000 98989127 0.0010345791233703494
chr8 98989128 98989255 0.0008508649771101773
chr8 98989256 98989383 0.001079317182302475
chr8 98989384 98989511 0.004304724745452404
chr8 98989512 98989639 0.0016778184799477458
chr8 98989640 98989767 0.003638282883912325
chr8 98989768 98989895 0.001122080720961094
chr8 98989896 98990023 0.0011070199543610215
chr8 98990024 98990151 0.001609876984730363
chr8 98990152 98990279 0.0016333807725459337
chr8 98990280 98990407 0.000858824874740094
chr8 98990408 98990535 0.0011545941233634949
chr8 98990536 98990663 0.0007608803571201861
chr8 98990664 98990791 0.0008737317402847111
chr8 98990792 98990919 0.000838376407045871
chr8 98990920 98991047 0.002606412163004279
chr8 98991048 98991175 0.0015630280831828713
chr8 98991176 98991303 0.0010324855102226138
chr8 98991304 98991431 0.0039165145717561245
chr8 98991432 98991559 0.004795354325324297
chr8 98991560 98991687 0.001756964367814362
chr8 98991688 98991815 0.003996849991381168
chr8 98991816 98991943 0.0013493576552718878
chr8 98991944 98992071 0.0009628300904296339
chr8 98992072 98992199 0.004702333826571703
chr8 98992200 98992327 0.0010144400876015425
chr8 98992328 98992455 0.0011023523984476924
chr8 98992456 98992583 0.0022728058975189924
chr8 98992584 98992711 0.0029013080056756735
chr8 98992712 98992839 0.0013470095582306385
chr8 98992840 98992967 0.0014875039923936129
chr8 98992968 98993095 0.002312776166945696
chr8 98993096 98993223 0.001080755959264934
chr8 98993224 98993351 0.0015081504825502634
chr8 98993352 98993479 0.0008972391369752586
chr8 98993480 98993607 0.000963484519161284
chr8 98993608 98993735 0.0011635065311565995
chr8 98993736 98993863 0.002040010178461671
chr8 98993864 98993991 0.0016563584795221686
chr8 98993992 98994119 0.0014184903120622039
