browser position chr8:98947784-99078856
browser hide all
browser pack refGene encodeRegions
browser full altGraph
#	300 base wide bar graph, autoScale is on by default == graphing
#	limits will dynamically change to always show full range of data
#	in viewing window, priority = 20 positions this as the second graph
#	Note, zero-relative, half-open coordinate system in use for bedGraph format
track type=bedGraph name="ENSG00000132549 GX-BERT CLS Mean Attention" description="ENSG00000132549 GX-BERT CLS Mean Attention" visibility=full color=200,100,0 altColor=0,100,200 priority=20
chr8 98980552 98980679 0.0006668075220659375
chr8 98980680 98980807 0.000380864308681339
chr8 98980808 98980935 0.0006745175924152136
chr8 98980936 98981063 0.0007460383931174874
chr8 98981064 98981191 0.0006280038505792618
chr8 98981192 98981319 0.0012893980601802468
chr8 98981320 98981447 0.0007953383610583842
chr8 98981448 98981575 0.0004133497131988406
chr8 98981576 98981703 0.0005816180491819978
chr8 98981704 98981831 0.0007793899858370423
chr8 98981832 98981959 0.0005187481292523444
chr8 98981960 98982087 0.0004927305271849036
chr8 98982088 98982215 0.0005066596204414964
chr8 98982216 98982343 0.00035539103555493057
chr8 98982344 98982471 0.0005061445408500731
chr8 98982472 98982599 0.000826587958727032
chr8 98982600 98982727 0.0005861958488821983
chr8 98982728 98982855 0.00098983698990196
chr8 98982856 98982983 0.00044651160715147853
chr8 98982984 98983111 0.00038384911022149026
chr8 98983112 98983239 0.0007855871226638556
chr8 98983240 98983367 0.0007019515614956617
chr8 98983368 98983495 0.0005771724972873926
chr8 98983496 98983623 0.0007769750664010644
chr8 98983624 98983751 0.0006680961232632399
chr8 98983752 98983879 0.0005442141555249691
chr8 98983880 98984007 0.0004811585240531713
chr8 98984008 98984135 0.000608721049502492
chr8 98984136 98984263 0.0007478302577510476
chr8 98984264 98984391 0.00044966230052523315
chr8 98984392 98984519 0.00023606375907547772
chr8 98984520 98984647 0.00026310732937417924
chr8 98984648 98984775 0.0004688159970100969
chr8 98984776 98984903 0.0004137615323998034
chr8 98984904 98985031 0.0004161310207564384
chr8 98985032 98985159 0.00040098841418512166
chr8 98985160 98985287 0.000469784252345562
chr8 98985288 98985415 0.0005757197504863143
chr8 98985416 98985543 0.0007193157216534019
chr8 98985544 98985671 0.000516332860570401
chr8 98985672 98985799 0.0006219679489731789
chr8 98985800 98985927 0.000474328437121585
chr8 98985928 98986055 0.00046495054266415536
chr8 98986056 98986183 0.0004729091888293624
chr8 98986184 98986311 0.0004760742885991931
chr8 98986312 98986439 0.00059171870816499
chr8 98986440 98986567 0.00034074761788360775
chr8 98986568 98986695 0.00046611219295300543
chr8 98986696 98986823 0.00046287933946587145
chr8 98986824 98986951 0.0005970264901407063
chr8 98986952 98987079 0.000897803867701441
chr8 98987080 98987207 0.0004732661182060838
chr8 98987208 98987335 0.00047709239879623055
chr8 98987336 98987463 0.0005390079459175467
chr8 98987464 98987591 0.0012158408062532544
chr8 98987592 98987719 0.0008276969310827553
chr8 98987720 98987847 0.0007003992795944214
chr8 98987848 98987975 0.0008537390385754406
chr8 98987976 98988103 0.0004078087513335049
chr8 98988104 98988231 0.0005001710960641503
chr8 98988232 98988359 0.0006101861363276839
chr8 98988360 98988487 0.0009289321023970842
chr8 98988488 98988615 0.0009708116995170712
chr8 98988616 98988743 0.0004969103028997779
chr8 98988744 98988871 0.0005806976114399731
chr8 98988872 98988999 0.000583752291277051
chr8 98989000 98989127 0.0004497685586102307
chr8 98989128 98989255 0.0008941340493038297
chr8 98989256 98989383 0.001454074983485043
chr8 98989384 98989511 0.0005865469574928284
chr8 98989512 98989639 0.0004997459473088384
chr8 98989640 98989767 0.00027973257238045335
chr8 98989768 98989895 0.00044530347804538906
chr8 98989896 98990023 0.0006490446976386011
chr8 98990024 98990151 0.0006699179648421705
chr8 98990152 98990279 0.0006063503678888083
chr8 98990280 98990407 0.0005107366596348584
chr8 98990408 98990535 0.0004345662018749863
chr8 98990536 98990663 0.0005383816896937788
chr8 98990664 98990791 0.00048656639410182834
chr8 98990792 98990919 0.0005591760273091495
chr8 98990920 98991047 0.0005693469429388642
chr8 98991048 98991175 0.001004021498374641
chr8 98991176 98991303 0.0005988455377519131
chr8 98991304 98991431 0.00024912538356147707
chr8 98991432 98991559 0.0005896586808376014
chr8 98991560 98991687 0.0008376759942620993
chr8 98991688 98991815 0.0007707666954956949
chr8 98991816 98991943 0.0004374015552457422
chr8 98991944 98992071 0.00048058826359920204
chr8 98992072 98992199 0.0003760885156225413
chr8 98992200 98992327 0.00041174772195518017
chr8 98992328 98992455 0.00036943639861419797
chr8 98992456 98992583 0.00035656895488500595
chr8 98992584 98992711 0.0005917561938986182
chr8 98992712 98992839 0.0006654922617599368
chr8 98992840 98992967 0.0011144804302603006
chr8 98992968 98993095 0.0005395851330831647
chr8 98993096 98993223 0.0003824047453235835
chr8 98993224 98993351 0.00033705279929563403
chr8 98993352 98993479 0.00045793637400493026
chr8 98993480 98993607 0.0005941743729636073
chr8 98993608 98993735 0.0009914268739521503
chr8 98993736 98993863 0.0006677761557511985
chr8 98993864 98993991 0.0004331897071097046
