browser position chr8:98947784-99078856
browser hide all
browser pack refGene encodeRegions
browser full altGraph
#	300 base wide bar graph, autoScale is on by default == graphing
#	limits will dynamically change to always show full range of data
#	in viewing window, priority = 20 positions this as the second graph
#	Note, zero-relative, half-open coordinate system in use for bedGraph format
track type=bedGraph name="ENSG00000132549 GX-BERT Gradient x Input" description="ENSG00000132549 GX-BERT Gradient x Input" visibility=full color=200,100,0 altColor=0,100,200 priority=20
chr8 98980552 98980552 3.162725624861196e-05
chr8 98980553 98980553 8.474720743834041e-06
chr8 98980554 98980554 1.1077467206632718e-05
chr8 98980555 98980555 7.35639150661882e-06
chr8 98980556 98980556 6.512658728752285e-05
chr8 98980557 98980557 2.050078364845831e-05
chr8 98980558 98980558 1.9126906408928335e-05
chr8 98980559 98980559 1.9361372324055992e-05
chr8 98980560 98980560 4.5934786612633616e-05
chr8 98980561 98980561 7.782759894325864e-06
chr8 98980562 98980562 3.007329360116273e-05
chr8 98980563 98980563 7.484848902095109e-05
chr8 98980564 98980564 1.6888519894564524e-05
chr8 98980565 98980565 1.0849216778296977e-05
chr8 98980566 98980566 6.293083970376756e-06
chr8 98980567 98980567 6.0877660871483386e-05
chr8 98980568 98980568 1.682008041825611e-05
chr8 98980569 98980569 3.4140968637075275e-05
chr8 98980570 98980570 1.588581108080689e-05
chr8 98980571 98980571 2.2832358808955178e-05
chr8 98980572 98980572 2.4275097530335188e-05
chr8 98980573 98980573 4.23974051955156e-06
chr8 98980574 98980574 2.3156380848377012e-05
chr8 98980575 98980575 4.992025424144231e-06
chr8 98980576 98980576 2.6528585294727236e-05
chr8 98980577 98980577 2.81920401903335e-05
chr8 98980578 98980578 7.475535312551074e-06
chr8 98980579 98980579 4.512361920205876e-05
chr8 98980580 98980580 9.259350918000564e-06
chr8 98980581 98980581 1.4255239875637926e-05
chr8 98980582 98980582 7.566506246803328e-05
chr8 98980583 98980583 1.6217047232203186e-05
chr8 98980584 98980584 1.6528019841643982e-07
chr8 98980585 98980585 3.596541137085296e-05
chr8 98980586 98980586 3.052428291994147e-05
chr8 98980587 98980587 5.46774117538007e-06
chr8 98980588 98980588 6.665261025773361e-06
chr8 98980589 98980589 3.0170043828547932e-05
chr8 98980590 98980590 4.1654129745438695e-05
chr8 98980591 98980591 2.865905116777867e-06
chr8 98980592 98980592 4.868556061410345e-06
chr8 98980593 98980593 3.745450885617174e-05
chr8 98980594 98980594 4.130723937123548e-06
chr8 98980595 98980595 5.8015662943944335e-05
chr8 98980596 98980596 3.7537110983976163e-06
chr8 98980597 98980597 3.2290612580254674e-05
chr8 98980598 98980598 7.090391136443941e-06
chr8 98980599 98980599 3.3086998882936314e-05
chr8 98980600 98980600 5.09900928591378e-07
chr8 98980601 98980601 3.0999319278635085e-05
chr8 98980602 98980602 1.8583716155262664e-05
chr8 98980603 98980603 4.7333320253528655e-05
chr8 98980604 98980604 1.8626611563377082e-05
chr8 98980605 98980605 2.212441813753685e-06
chr8 98980606 98980606 3.6034205550095066e-05
chr8 98980607 98980607 1.2568513739097398e-05
chr8 98980608 98980608 1.0147276043426245e-05
chr8 98980609 98980609 3.313432534923777e-05
chr8 98980610 98980610 3.756972091650823e-06
chr8 98980611 98980611 2.842041340045398e-06
chr8 98980612 98980612 1.985184098884929e-05
chr8 98980613 98980613 7.241913408506662e-05
chr8 98980614 98980614 4.212442490825197e-06
chr8 98980615 98980615 1.2977549886272755e-05
chr8 98980616 98980616 1.4686606846225914e-06
chr8 98980617 98980617 4.323397661210038e-05
chr8 98980618 98980618 3.891482265316881e-07
chr8 98980619 98980619 7.106389239197597e-05
chr8 98980620 98980620 3.5605109587777406e-05
chr8 98980621 98980621 1.4722413652634714e-06
chr8 98980622 98980622 1.3641960322274826e-05
chr8 98980623 98980623 1.2251424777787179e-05
chr8 98980624 98980624 5.421460809884593e-05
chr8 98980625 98980625 3.3953285310417414e-05
chr8 98980626 98980626 9.67762025538832e-06
chr8 98980627 98980627 7.600278877362143e-06
chr8 98980628 98980628 6.48870482109487e-05
chr8 98980629 98980629 7.472415745723993e-06
chr8 98980630 98980630 4.957121564075351e-05
chr8 98980631 98980631 2.231611233582953e-06
chr8 98980632 98980632 6.115210999269038e-05
chr8 98980633 98980633 8.535598681191914e-06
chr8 98980634 98980634 4.447250466910191e-05
chr8 98980635 98980635 1.1806409020209685e-05
chr8 98980636 98980636 2.236507680208888e-05
chr8 98980637 98980637 3.227881097700447e-05
chr8 98980638 98980638 8.922497727326117e-06
chr8 98980639 98980639 4.2070816562045366e-05
chr8 98980640 98980640 2.5215504138031974e-06
chr8 98980641 98980641 2.992981535498984e-05
chr8 98980642 98980642 1.1927650120924227e-05
chr8 98980643 98980643 9.925905942509416e-06
chr8 98980644 98980644 4.7953755711205304e-05
chr8 98980645 98980645 2.588796996860765e-05
chr8 98980646 98980646 2.105883504555095e-05
chr8 98980647 98980647 4.749331856146455e-05
chr8 98980648 98980648 2.559470885898918e-05
chr8 98980649 98980649 1.782922299753409e-05
